age,wins
39,14
33,20
44,8
35,20
29,12
37,6
28,16
48,23
46,23
42,19
52,33
41,22
48,4
48,15
57,16
31,11
39,23
29,22
43,26
46,25
40,23
42,12
51,20
35,13
,5
45,0
46,14
34,19
35,9
44,16
35,8
45,23
40,12
53,10
43,36
43,10
33,10
46,5
50,60
,4
33,7
32,19
46,27
45,92
38,9
28,16
30,17
37,8
35,28
48,14
26,10
40,16
46,11
,20
35,3
40,17
36,15
39,14
35,21
,23
30,5
38,31
39,20
29,21
35,15
38,14
44,1
33,10
29,16
25,19
31,9
35,11
34,14
37,32
,0
41,31
41,17
32,23
25,12
30,16
35,3
28,9
36,11
28,28
,15
33,16
34,15
50,7
35,26
32,11
27,12
30,13
35,6
35,6
37,7
63,6
43,51
36,15
26,9
43,48
37,28
37,7
60,2
,4
36,11
38,49
43,16
27,11
50,0
34,18
39,33
38,20
43,4
28,18
39,18
32,9
51,2
35,6
43,4
34,6
42,35
28,13
,0
29,18
37,8
37,8
36,21
42,35
35,5
48,16
34,17
38,29
46,15
52,3
31,34
53,5
38,26
36,18
50,8
,1
37,19
36,22
40,2
36,18
34,23
38,23
32,27
41,28
,13
,2
29,18
37,18
33,8
43,32
34,26
41,8
35,13
36,11
35,16
42,23
27,13
34,9
29,10
,11
,9
32,12
31,15
31,18
32,12
26,8
31,31
45,23
33,14
30,9
29,12
44,14
32,11
36,35
48,38
49,20
40,25
34,30
29,10
25,10
37,28
26,10
35,7
43,35
41,15
40,6
38,18
36,16
33,11
32,14
44,14
44,19
43,17
38,36
32,14
40,9
,12
37,11
31,11
36,8
42,22
40,28
32,9
29,7
40,10
32,11
43,1
33,9
32,25
31,9
,0
39,10
31,10
40,16
28,9
31,17
,23
35,20
30,15
40,16
37,21
36,23
37,16
38,10
,19
32,11
32,22
,13
32,16
41,9
31,11
32,9
,9
45,11
39,12
29,12
27,4
34,8
34,13
33,7
50,26
30,6
37,23
46,17
35,18
43,9
34,19
28,12
32,3
30,9
36,31
38,24
26,14
35,12
32,16
48,9
39,24
21,7
42,21
34,20
52,26
,3
49,45
37,35
35,5
63,2
45,17
55,12
39,28
44,4
37,4
29,16
57,28
38,11
38,24
45,5
29,9
45,14
37,15
50,24
29,11
32,17
41,12
40,9
34,21
,5
28,21
56,4
50,11
28,18
28,9
,17
32,29
26,8
,15
29,13
34,16
27,9
40,20
53,10
44,6
28,15
57,1
44,25
38,10
39,9
49,4
49,6
33,5
31,22
44,26
45,23
34,19
42,16
32,9
34,10
38,20
28,10
39,11
30,13
41,22
31,14
32,14
42,13
26,9
30,29
33,17
32,7
50,4
29,12
25,7
26,15
28,9
29,5
38,15
44,18
47,27
28,5
37,17
35,25
43,8
45,18
37,18
29,19
42,18
39,13
28,8
41,18
30,10
38,12
32,18
33,11
26,8
29,8
39,10
38,15
30,14
37,16
,15
36,18
34,23
25,7
36,8
30,17
,0
28,15
28,7
32,20
27,11
47,19
26,17
40,26
25,9
28,9
40,20
40,17
30,14
33,15
40,17
41,6
33,13
36,16
35,13
39,14
36,21
43,26
41,22
40,12
40,8
28,11
30,7
27,16
39,14
29,15
33,14
40,40
33,27
31,25
30,13
32,16
31,13
27,7
27,16
27,15
31,7
36,11
35,12
28,14
31,12
35,9
,2
28,8
38,9
,1
33,16
31,19
29,27
33,15
35,22
33,14
43,8
35,12
36,10
60,9
34,7
36,18
35,6
47,22
,1
36,7
47,22
47,4
38,22
,6
34,14
28,8
42,14
,13
44,9
24,9
39,12
56,16
26,11
35,6
37,13
60,5
35,12
39,20
47,6
47,13
52,15
43,14
51,1
,9
,1
33,18
53,21
31,12
33,23
28,17
27,11
32,8
39,20
36,15
50,18
27,17
29,10
38,27
33,14
26,10
46,2
30,19
28,16
37,11
50,14
38,3
36,24
40,23
31,11
31,8
40,15
44,13
34,9
43,30
47,45
51,22
47,15
43,13
27,8
31,15
47,11
35,7
40,17
37,16
34,10
28,8
35,9
59,12
39,27
35,18
29,22
26,6
37,31
37,12
23,9
29,7
31,11
36,12
34,5
52,0
38,32
30,13
42,30
35,22
33,18
30,10
35,19
32,15
,8
30,19
,12
29,9
26,15
37,4
27,26
40,26
36,8
35,18
45,19
30,13
33,20
29,7
34,19
28,10
40,44
41,19
28,9
34,14
37,13
34,12
36,0
38,5
41,23
42,8
38,13
49,9
29,14
40,17
45,27
31,13
35,11
40,10
32,11
44,15
32,22
35,11
42,15
56,8
43,15
40,27
33,9
47,5
32,12
27,12
42,13
,0
29,7
24,9
46,38
30,13
34,15
35,11
36,12
40,18
27,11
31,10
26,12
29,10
48,6
57,1
33,35
33,10
27,15
55,15
37,18
32,19
34,12
25,5
31,17
38,21
45,11
24,16
39,37
25,13
26,10
36,20
33,14
,11
42,36
38,9
49,12
,11
43,15
28,17
35,29
50,12
34,25
41,16
,13
32,4
35,16
42,24
39,10
37,11
38,26
37,14
36,6
34,8
41,11
42,14
34,9
,1
43,7
40,38
26,10
36,19
36,30
29,27
31,11
28,12
31,14
40,13
,5
27,10
33,4
40,15
,18
30,6
34,28
29,9
53,17
41,21
30,10
32,12
34,6
35,11
33,21
55,1
31,11
31,13
37,12
27,8
29,15
43,10
36,10
34,11
35,11
42,8
38,34
53,29
32,5
41,23
40,10
,20
32,10
39,8
38,23
47,35
33,15
51,3
38,42
36,17
38,6
,1
58,11
36,15
34,15
46,10
33,14
41,11
,9
30,13
40,19
32,18
34,10
34,19
35,21
47,20
41,4
40,14
38,10
50,25
46,12
35,11
34,17
28,15
45,16
36,22
38,22
32,11
51,30
35,20
31,8
35,14
42,16
37,11
28,15
33,19
32,8
29,12
32,10
28,8
36,18
43,38
30,4
27,11
48,2
41,13
36,30
28,10
38,21
39,17
,0
34,20
37,19
35,20
28,8
33,10
36,10
31,13
27,6
58,19
36,27
34,16
39,27
32,10
32,11
39,9
41,19
37,25
25,21
28,14
